Title;Author;Affiliation main author;Country;Open Access?;Peer-reviewed?;Data published?;URI;Notes;;;;
Large hive beetle: a potential new pest of honeybees in kenya;Wambua B et al;SEKU;Kenya;Yes;no;yes;http://ir.mksu.ac.ke/bitstream/handle/123456780/4435/Benedict%20Mwendwa.pdf?sequence=1&isAllowed=y;About the hive beetle infestation of honey bee colonies;;;;
Linking Climate Change, Pollinators and Cereal Yields in Kenya;Nyangena O et al.;Kenya School of Government;Kenya;Yes;Yes;Yes;https://www.scirp.org/journal/paperinformation.aspx?paperid=101400;Contains data climate change, pollinators and cereal yields in Kenya;;;;
Livelihood contribution of farmed beekeeping to rural households: evidence from north-western Ethiopia;Alebel H ;Bahir Dar University;Ethiopia;yes;yes;yes;http://ir.bdu.edu.et/handle/123456789/9247;"in the economy of Ethiopia through pollination services. Pollination is one of the most 
important factors that affect seed production in agricultural crops. In Ethiopia, an experiment was …";;;;
Local and landscape effects on bee functional guilds in pigeon pea crops in Kenya;Otieno et al.;University of Embu;Kenya;no;yes;yes;https://link.springer.com/article/10.1007/s10841-015-9788-z;Landscape effects on bee guild in pigeon pea crops;;;;
Local management and landscape drivers of pollination and biological control services in a Kenyan agro-ecosystem;Otieno et al.;University of Reading;Kenya;no;yes;yes;https://www.sciencedirect.com/science/article/abs/pii/S0006320711002400;The impact of both local management and landscape context on insect pollinators;;;;
Managed honeybees as pollinators and vectors of bio-control agent (trichoderma harzianum) against grey mold disease for increased strawberry yield and quality in Kenya;Jane Muthoni Macharia;Jomo Kenyatta University of Agriculture and Technology;Kenya ;Yes;Yes;Yes;http://ir.jkuat.ac.ke/bitstream/handle/123456789/5817/Jane%20thesis-%2023rd%20March%202022%20b%20C.pdf?sequence=1&isAllowed=y;"pollinators as vectors of bio-control agent against grey mold disease for  
increased strawberry yield and quality in Kenya
";;;;
Management of Wild Pollinator Services in Cocoa (Theobroma Cacao L) Production Systems in Ghana;Frimpong, Eric Anim;University of Cape Coast;Ghana;yes;yes;yes;http://34.250.91.188:8080/xmlui/handle/123456789/191;;;;;
Moderate grazing impacts on insect-flower interactions in grasslands in a biodiversity hotspot;Opeyemi et al.;Stellenbosch University;Nigeria;yes;yes;yes;https://academicjournals.org/journal/JEN/article-full-text-pdf/2CECCE856992;Impact of grazing of insect-flower interactions;;;;
People, Plants and Pollinators: Uniting Conservation, Food Security, and Sustainable Agriculture in East Africa;Dino J. Martins;Insect Committee of Nature Kenya, The East Africa Natural History Society;East africa;Yes;;Yes;https://doi.org/10.1002/9781118679838.ch27;;;;;
People’s Knowledge and Perceptions Towards Bee–Pollinators in the Southern Highlands, Tanzania: Conservation Implications and Strategies;Ojija & Leweri;Mbeya University of Science and Technology;Tanzania;yes;yes;yes;https://journals.sagepub.com/doi/10.1177/19400829221126696;People's knowledge on pollination;;;;
Pesticide contamination and their botanical sources in pollen loads collected by honeybees in Kenya: A spatio-temporal context;Koech S et al;International Centre of Insect Physiology and Ecology;Kenya;no;yes;yes;https://doi.org/10.1016/j.agee.2022.108264;about pesticides expressed in pollen utilized by bees;;;;
Pollen diversity and protein content in differentially degraded semi-arid landscapes in Kenya;Ochungo et al.;International Centre of Insect Physiology and Ecology;Kenya;no;yes;yes;https://doi.org/10.1080/00218839.2021.1899656;Pollen diversity in semi arid areas;;;;
Pollination and fruit-set of Grevillea robusta in western Kenya;Kalinganire et al;Australian National University;Kenya;no;Yes;Yes;https://doi.org/10.1046/j.1442-9993.2001.01139.x;;;;;
Pollination and Guttation in Sweet Melon Cucumis Melo L. Grown Under Field and Greenhouse Conditions in Nairobi County, Kenya;Ong’ute, Hillary Wills;Kenyatta University;Kenya;yes;Yes;Yes;https://ir-library.ku.ac.ke/handle/123456789/19973;;;;;
Pollination and Seed Dispersal in the Endangered Succulent Euphorbia brevitorta;Martin D;Museum of Comparative Zoology, Harvard University;Kenya;No;Yes;Yes;https://bioone.org/journals/journal-of-east-african-natural-history/volume-99/issue-1/028.099.0104/Pollination-and-Seed-Dispersal-in-the-Endangered-Succulent-Euphorbia-brevitorta/10.2982/028.099.0104.short#:~:text=1%20June%202010,Succulent%20Euphorbia%20brevitorta;;;;;
Pollination ecology of Citrullus lanatus at Yatta, Kenya;Njoroge G et al;Kenyatta University;Kenya;no;yes;yes;DOI: https://doi.org/10.1079/IJT20042;Pollination of watermelon;;;;
Pollination ecosystem services in South African agricultural systems;Melin et al;South African National Biodiversity Institute;South Africa;Yes;;Yes;;Contains data on importance of different pollinators;;;;
Pollination Observations Of the African Violet In the Taita Hills, Kenya;Martins D;Museum of Comparative Zoology, Harvard University;Kenya;No;Yes;Yes;"https://bioone.org/journals/journal-of-east-african-natural-history/volume-97/issue-1/0012-8317(2008)97[33:POOTAV]2.0.CO;2/Pollination-Observations-Of-the-African-Violet-In-the-Taita-Hills/10.2982/0012-8317(2008)97[33:POOTAV]2.0.CO;2.short";Contains data on  African violet, Saintpaulia teitensis;;;;
Pollination of Coffea Arabica L. and Associated Awareness of Pollination Significance among Farmers in Selected Farms in Kiambu District, Kenya;Karanja NH;JKUAT;Kenya;yes;Yes;Yes;http://journals.jkuat.ac.ke/index.php/pgthesis_abs/article/view/187;Contains data on on the pollinators of coffee, the role of natural floral resources as alternative floral resources, importance of pollination in improving coffee yield and cup quality, efficiency of some key pollinators of coffee and pollination knowledge among coffee farmers.;;;;
Pollination of Strawberry in Kenya by Stingless Bees and Honey Bee for improved fruit quality;Asiko G;University of Nairobi;Kenya;Yes;Yes;Yes;http://erepository.uonbi.ac.ke/bitstream/handle/11295/6859/Adala_%20Pollination%20of%20Strawberry%20in%20Kenya%2c%20by%20Stingless%20Bees%20%28Hymenopterameliponini%29%20and%20Honey%20Bee%20%28Hymenopteraapini%29%20for%20Improved%20Fruit%20Quality.pdf?sequence=1&isAllowed=y;Contains data on the pollination efficiency of the stingless bee and honey bee;;;;
Pollinator biodiversity in Uganda and in SubSahara Africa: Landscape and habitat management strategies for its conservation;Munyuli BMT;Department of Biology, National Center for Research in Natural Sciences, C;Uganda;Yes;;Yes;http://www.academicjournals.org/IJBC;Contains data of pollinator practices and importances;;;;
Pollinator diversity, behaviour and limitation on yield of karela (Momordica charantia L. Cucurbitaceae) in Western Kenya;Oronje et al.;University of Bielefeld;Kenya;yes;yes;yes;https://academicjournals.org/article/article1381131427_Oronje%20et%20al.pdf;Pollinator behaviour and its effects on karela yield;;;;
"Pollinator diversity, pollination deficits, and pollination efficiency in avocado
(Persea americana) production across different landscapes in Murang’a
county, Kenya
";Rose Nyakemiso;Universität Würzburg; Kenya;Yes;Yes;Yes;https://www.researchgate.net/publication/360218579_Pollinator_diversity_pollination_deficits_and_pollination_efficiency_in_avocado_Persea_americana_production_across_different_landscapes_in_Murang%27a_county_Kenya/fulltext/626928d3bca601538b6d25a9/Pollinator-diversity-pollination-deficits-and-pollination-efficiency-in-avocado-Persea-americana-production-across-different-landscapes-in-Muranga-county-Kenya.pdf?origin=searchReact&_iepl%5BgeneralViewId%5D=PNFMjSH0bSukCmuxJY0FAfQFZPD1R24ddF4b&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=Yn6xrCmcmplbwpBZrU95IYqgfcXO9aNSU030&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountLessEqual20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition3%5D=1&_iepl%5Bdata%5D%5BwithoutEnrichment%5D=1&_iepl%5Bposition%5D=3&_iepl%5BrgKey%5D=PB%3A360218579&_iepl%5BinteractionType%5D=publicationDownload;;;;;
Pollinator effectiveness and their potential for pollination of greenhouse crops in Kenya;Oronje MLA;University of Bielefeld;Kenya;yes;yes;yes;https://pub.uni-bielefeld.de/download/2443171/2443173/oronje.pdf;pollination and efficiency of crops;;;;
